id,description
21,"211 - Yellow Money Heist is a Spanish heist crime drama television series created by Álex Pina. The series traces two long-prepared heists led by the Professor one on the Royal Mint of Spain and one on the Bank of Spain. The series was initially intended as a limited series to be told in two parts. It had its original run of 15 episodes on Spanish network Antena 3 from 2 May 2017 through 23 November 2017. Netflix acquired global streaming rights in late 2017. It re-cut the series into 22 shorter episodes and released them worldwide beginning with the first part on 20 December 2017 followed by the second part on 6 April 2018. In April 2018 Netflix renewed the series with a significantly increased budget for 16 new episodes total. Part 3 with eight episodes was released on 19 July 2019. Part 4 also with eight episodes was released on 3 April 2020. A documentary involving the producers and the cast premiered on Netflix the same day titled Money Heist: The Phenomenon.Genre:Crime drama Heist Thriller"
22,"212 - Red Money Heist is a Spanish heist crime drama television series created by Álex Pina. The series traces two long-prepared heists led by the Professor one on the Royal Mint of Spain and one on the Bank of Spain. The series was initially intended as a limited series to be told in two parts. It had its original run of 15 episodes on Spanish network Antena 3 from 2 May 2017 through 23 November 2017. Netflix acquired global streaming rights in late 2017. It re-cut the series into 22 shorter episodes and released them worldwide beginning with the first part on 20 December 2017 followed by the second part on 6 April 2018. In April 2018 Netflix renewed the series with a significantly increased budget for 16 new episodes total. Part 3 with eight episodes was released on 19 July 2019. Part 4 also with eight episodes was released on 3 April 2020. A documentary involving the producers and the cast premiered on Netflix the same day titled Money Heist: The Phenomenon.Genre:Crime drama Heist Thriller"
23,"213 - Blue Money Heist is a Spanish heist crime drama television series created by Álex Pina. The series traces two long-prepared heists led by the Professor one on the Royal Mint of Spain and one on the Bank of Spain. The series was initially intended as a limited series to be told in two parts. It had its original run of 15 episodes on Spanish network Antena 3 from 2 May 2017 through 23 November 2017. Netflix acquired global streaming rights in late 2017. It re-cut the series into 22 shorter episodes and released them worldwide beginning with the first part on 20 December 2017 followed by the second part on 6 April 2018. In April 2018 Netflix renewed the series with a significantly increased budget for 16 new episodes total. Part 3 with eight episodes was released on 19 July 2019. Part 4 also with eight episodes was released on 3 April 2020. A documentary involving the producers and the cast premiered on Netflix the same day titled Money Heist: The Phenomenon.Genre:Crime drama Heist Thriller"
24,"214 - Green Money Heist is a Spanish heist crime drama television series created by Álex Pina. The series traces two long-prepared heists led by the Professor one on the Royal Mint of Spain and one on the Bank of Spain. The series was initially intended as a limited series to be told in two parts. It had its original run of 15 episodes on Spanish network Antena 3 from 2 May 2017 through 23 November 2017. Netflix acquired global streaming rights in late 2017. It re-cut the series into 22 shorter episodes and released them worldwide beginning with the first part on 20 December 2017 followed by the second part on 6 April 2018. In April 2018 Netflix renewed the series with a significantly increased budget for 16 new episodes total. Part 3 with eight episodes was released on 19 July 2019. Part 4 also with eight episodes was released on 3 April 2020. A documentary involving the producers and the cast premiered on Netflix the same day titled Money Heist: The Phenomenon.Genre:Crime drama Heist Thriller"
25,"221 - Yellow Peaky Blinders is a British period crime drama television series created by Steven Knight. Set in Birmingham England the series follows the exploits of the Shelby crime family in the direct aftermath of the First World War. The fictional family is loosely based on a real 19th century urban youth gang of the same name who were active in the city from the 1890s to the early twentieth century. Peaky Blinders features an ensemble cast led by Cillian Murphy Helen McCrory Joe Cole and Paul Anderson starring as Tommy Shelby Elizabeth polly Gray John Shelby and Arthur Shelby respectively the gang's senior members. Sam Neill Tom Hardy Paddy Considine Adrien Brody Aidan Gillen Charlotte Riley Sam Claflin and Anya Taylor-Joy also have recurring roles at various junctures of the series. The series premiered on 12 September 2013 telecast on BBC Two until the fourth season and then shifted to BBC One for the fifth season.Genre:Historical fiction Crime drama"
26,"222 - Red Peaky Blinders is a British period crime drama television series created by Steven Knight. Set in Birmingham England the series follows the exploits of the Shelby crime family in the direct aftermath of the First World War. The fictional family is loosely based on a real 19th century urban youth gang of the same name who were active in the city from the 1890s to the early twentieth century. Peaky Blinders features an ensemble cast led by Cillian Murphy Helen McCrory Joe Cole and Paul Anderson starring as Tommy Shelby Elizabeth polly Gray John Shelby and Arthur Shelby respectively the gang's senior members. Sam Neill Tom Hardy Paddy Considine Adrien Brody Aidan Gillen Charlotte Riley Sam Claflin and Anya Taylor-Joy also have recurring roles at various junctures of the series. The series premiered on 12 September 2013 telecast on BBC Two until the fourth season and then shifted to BBC One for the fifth season.Genre:Historical fiction Crime drama"
27,"223 - Blue Peaky Blinders is a British period crime drama television series created by Steven Knight. Set in Birmingham England the series follows the exploits of the Shelby crime family in the direct aftermath of the First World War. The fictional family is loosely based on a real 19th century urban youth gang of the same name who were active in the city from the 1890s to the early twentieth century. Peaky Blinders features an ensemble cast led by Cillian Murphy Helen McCrory Joe Cole and Paul Anderson starring as Tommy Shelby Elizabeth polly Gray John Shelby and Arthur Shelby respectively the gang's senior members. Sam Neill Tom Hardy Paddy Considine Adrien Brody Aidan Gillen Charlotte Riley Sam Claflin and Anya Taylor-Joy also have recurring roles at various junctures of the series. The series premiered on 12 September 2013 telecast on BBC Two until the fourth season and then shifted to BBC One for the fifth season.Genre:Historical fiction Crime drama"
28,"224 - Green Peaky Blinders is a British period crime drama television series created by Steven Knight. Set in Birmingham England the series follows the exploits of the Shelby crime family in the direct aftermath of the First World War. The fictional family is loosely based on a real 19th century urban youth gang of the same name who were active in the city from the 1890s to the early twentieth century. Peaky Blinders features an ensemble cast led by Cillian Murphy Helen McCrory Joe Cole and Paul Anderson starring as Tommy Shelby Elizabeth polly Gray John Shelby and Arthur Shelby respectively the gang's senior members. Sam Neill Tom Hardy Paddy Considine Adrien Brody Aidan Gillen Charlotte Riley Sam Claflin and Anya Taylor-Joy also have recurring roles at various junctures of the series. The series premiered on 12 September 2013 telecast on BBC Two until the fourth season and then shifted to BBC One for the fifth season.Genre:Historical fiction Crime drama"
29,"231 - Yellow 13 Reasons Why is an American teen drama web television series originally developed for Netflix as a limited series by Brian Yorkey based on the 2007 novel Thirteen Reasons Why by Jay Asher. The series revolves around high school student Clay Jensen and the aftermath of high school student Hannah Baker's suicide leaving behind a box of cassette tapes in which she details why she chose to end her life. Through its various storylines the show explores and depicts a wide range of social issues affecting modern youth including suicide sexual assault bullying racism jock culture mental health drug addiction domestic violence homophobia deportation police brutality steroid use homelessness HIV abortion and school shootings. The series is produced by July Moon Productions Kicked to the Curb Productions Anonymous Content and Paramount Television with Yorkey and Diana Son serving as showrunners.Genre:Teen drama Mystery Thriller"
30,"232 - Red 13 Reasons Why is an American teen drama web television series originally developed for Netflix as a limited series by Brian Yorkey based on the 2007 novel Thirteen Reasons Why by Jay Asher. The series revolves around high school student Clay Jensen and the aftermath of high school student Hannah Baker's suicide leaving behind a box of cassette tapes in which she details why she chose to end her life. Through its various storylines the show explores and depicts a wide range of social issues affecting modern youth including suicide sexual assault bullying racism jock culture mental health drug addiction domestic violence homophobia deportation police brutality steroid use homelessness HIV abortion and school shootings. The series is produced by July Moon Productions Kicked to the Curb Productions Anonymous Content and Paramount Television with Yorkey and Diana Son serving as showrunners.Genre:Teen drama Mystery Thriller"
31,"233 - Blue 13 Reasons Why is an American teen drama web television series originally developed for Netflix as a limited series by Brian Yorkey based on the 2007 novel Thirteen Reasons Why by Jay Asher. The series revolves around high school student Clay Jensen and the aftermath of high school student Hannah Baker's suicide leaving behind a box of cassette tapes in which she details why she chose to end her life. Through its various storylines the show explores and depicts a wide range of social issues affecting modern youth including suicide sexual assault bullying racism jock culture mental health drug addiction domestic violence homophobia deportation police brutality steroid use homelessness HIV abortion and school shootings. The series is produced by July Moon Productions Kicked to the Curb Productions Anonymous Content and Paramount Television with Yorkey and Diana Son serving as showrunners.Genre:Teen drama Mystery Thriller"
32,"234 - Green 13 Reasons Why is an American teen drama web television series originally developed for Netflix as a limited series by Brian Yorkey based on the 2007 novel Thirteen Reasons Why by Jay Asher. The series revolves around high school student Clay Jensen and the aftermath of high school student Hannah Baker's suicide leaving behind a box of cassette tapes in which she details why she chose to end her life. Through its various storylines the show explores and depicts a wide range of social issues affecting modern youth including suicide sexual assault bullying racism jock culture mental health drug addiction domestic violence homophobia deportation police brutality steroid use homelessness HIV abortion and school shootings. The series is produced by July Moon Productions Kicked to the Curb Productions Anonymous Content and Paramount Television with Yorkey and Diana Son serving as showrunners.Genre:Teen drama Mystery Thriller"
33,"301 - {color1} Dragon Ball Z is a Japanese anime television series produced by Toei Animation. It is the sequel to Dragon Ball and adapts the latter 325 chapters of the original 519-chapter Dragon Ball manga series created by Akira Toriyama which ran in Weekly Shōnen Jump from 1988 to 1995. Dragon Ball Z aired in Japan on Fuji TV from April 26 1989 to January 31 1996 before getting dubbed in territories including the United States Canada Australia Europe Asia and Latin America. It was broadcast in at least 81 countries worldwide. It is part of the Dragon Ball media franchise. Dragon Ball Z continues the adventures of Goku who along with his companions defend the Earth against villains ranging from aliens androids and magical creatures. While the original Dragon Ball anime followed Goku from childhood to early adulthood Dragon Ball Z is a continuation of his adult life but at the same time parallels the life of his son Gohan as well as the development of his rival Vegeta"
34,"302 - {color2} Dragon Ball Z is a Japanese anime television series produced by Toei Animation. It is the sequel to Dragon Ball and adapts the latter 325 chapters of the original 519-chapter Dragon Ball manga series created by Akira Toriyama which ran in Weekly Shōnen Jump from 1988 to 1995. Dragon Ball Z aired in Japan on Fuji TV from April 26 1989 to January 31 1996 before getting dubbed in territories including the United States Canada Australia Europe Asia and Latin America. It was broadcast in at least 81 countries worldwide. It is part of the Dragon Ball media franchise. Dragon Ball Z continues the adventures of Goku who along with his companions defend the Earth against villains ranging from aliens androids and magical creatures. While the original Dragon Ball anime followed Goku from childhood to early adulthood Dragon Ball Z is a continuation of his adult life but at the same time parallels the life of his son Gohan as well as the development of his rival Vegeta"
35,"303 - {color3} Dragon Ball Z is a Japanese anime television series produced by Toei Animation. It is the sequel to Dragon Ball and adapts the latter 325 chapters of the original 519-chapter Dragon Ball manga series created by Akira Toriyama which ran in Weekly Shōnen Jump from 1988 to 1995. Dragon Ball Z aired in Japan on Fuji TV from April 26 1989 to January 31 1996 before getting dubbed in territories including the United States Canada Australia Europe Asia and Latin America. It was broadcast in at least 81 countries worldwide. It is part of the Dragon Ball media franchise. Dragon Ball Z continues the adventures of Goku who along with his companions defend the Earth against villains ranging from aliens androids and magical creatures. While the original Dragon Ball anime followed Goku from childhood to early adulthood Dragon Ball Z is a continuation of his adult life but at the same time parallels the life of his son Gohan as well as the development of his rival Vegeta"
36,"304 - {color4} Dragon Ball Z is a Japanese anime television series produced by Toei Animation. It is the sequel to Dragon Ball and adapts the latter 325 chapters of the original 519-chapter Dragon Ball manga series created by Akira Toriyama which ran in Weekly Shōnen Jump from 1988 to 1995. Dragon Ball Z aired in Japan on Fuji TV from April 26 1989 to January 31 1996 before getting dubbed in territories including the United States Canada Australia Europe Asia and Latin America. It was broadcast in at least 81 countries worldwide. It is part of the Dragon Ball media franchise. Dragon Ball Z continues the adventures of Goku who along with his companions defend the Earth against villains ranging from aliens androids and magical creatures. While the original Dragon Ball anime followed Goku from childhood to early adulthood Dragon Ball Z is a continuation of his adult life but at the same time parallels the life of his son Gohan as well as the development of his rival Vegeta"
37,"311 - Orange Naruto is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki a young ninja who seeks to gain recognition from his peers and also dreams of becoming the Hokage the leader of his village. The story is in two parts the first set in Naruto's pre-teen years and the second in his teens. The series is based on two one-shot manga by Kishimoto: Karakuri which earned Kishimoto an honorable mention in Shueisha's monthly Hop Step Award the following year and Naruto. Naruto was serialized in Shueisha's magazine Weekly Shōnen Jump from 1999 to 2014 and released in tankōbon form in 72 volumes. The manga was adapted into an anime television series produced by Pierrot and Aniplex which broadcast 220 episodes in Japan from 2002 to 2007; the English adaptation of the series aired on Cartoon Network and YTV from 2005 to 2009"
38,"312 - {color2} Naruto is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki a young ninja who seeks to gain recognition from his peers and also dreams of becoming the Hokage the leader of his village. The story is in two parts the first set in Naruto's pre-teen years and the second in his teens. The series is based on two one-shot manga by Kishimoto: Karakuri which earned Kishimoto an honorable mention in Shueisha's monthly Hop Step Award the following year and Naruto. Naruto was serialized in Shueisha's magazine Weekly Shōnen Jump from 1999 to 2014 and released in tankōbon form in 72 volumes. The manga was adapted into an anime television series produced by Pierrot and Aniplex which broadcast 220 episodes in Japan from 2002 to 2007; the English adaptation of the series aired on Cartoon Network and YTV from 2005 to 2009"
39,"313 - {color3} Naruto is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki a young ninja who seeks to gain recognition from his peers and also dreams of becoming the Hokage the leader of his village. The story is in two parts the first set in Naruto's pre-teen years and the second in his teens. The series is based on two one-shot manga by Kishimoto: Karakuri which earned Kishimoto an honorable mention in Shueisha's monthly Hop Step Award the following year and Naruto. Naruto was serialized in Shueisha's magazine Weekly Shōnen Jump from 1999 to 2014 and released in tankōbon form in 72 volumes. The manga was adapted into an anime television series produced by Pierrot and Aniplex which broadcast 220 episodes in Japan from 2002 to 2007; the English adaptation of the series aired on Cartoon Network and YTV from 2005 to 2009"
40,"314 - {color4} Naruto is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki a young ninja who seeks to gain recognition from his peers and also dreams of becoming the Hokage the leader of his village. The story is in two parts the first set in Naruto's pre-teen years and the second in his teens. The series is based on two one-shot manga by Kishimoto: Karakuri which earned Kishimoto an honorable mention in Shueisha's monthly Hop Step Award the following year and Naruto. Naruto was serialized in Shueisha's magazine Weekly Shōnen Jump from 1999 to 2014 and released in tankōbon form in 72 volumes. The manga was adapted into an anime television series produced by Pierrot and Aniplex which broadcast 220 episodes in Japan from 2002 to 2007; the English adaptation of the series aired on Cartoon Network and YTV from 2005 to 2009"
41,"321 - {color1} Pokemon also advertised in English as Pokemon the Series is a Japanese anime television series produced by the animation studio OLM Inc. in association with MediaNet and ShoPro based on the video game franchise by The Pokemon Company. It premiered on TV Tokyo on April 1 1997. The anime franchise consists of seven sequential series in Japan each based on a main installment of the Pokemon video game series. In the international broadcasts these series are split across 22 television seasons with a 23rd season scheduled to be streamed on Netflix in the United States on June 12 2020. Each of the series follows Ash Ketchum young trainer of fictional creatures called Pokemon. Joined by his partner Pokemon Pikachu and a rotating cast of human characters currently Goh Ash goes on a journey to become a "Pokemon Master" and compete in various Pokemon-battling tournaments called Pokemon Leagues"
42,"322 - {color2} Pokemon also advertised in English as Pokemon the Series is a Japanese anime television series produced by the animation studio OLM Inc. in association with MediaNet and ShoPro based on the video game franchise by The Pokemon Company. It premiered on TV Tokyo on April 1 1997. The anime franchise consists of seven sequential series in Japan each based on a main installment of the Pokemon video game series. In the international broadcasts these series are split across 22 television seasons with a 23rd season scheduled to be streamed on Netflix in the United States on June 12 2020. Each of the series follows Ash Ketchum young trainer of fictional creatures called Pokemon. Joined by his partner Pokemon Pikachu and a rotating cast of human characters currently Goh Ash goes on a journey to become a "Pokemon Master" and compete in various Pokemon-battling tournaments called Pokemon Leagues"
